landing_page,sessions,active_users,engagement_rate,user_engagement_duration_sec,pages_per_session,purchase_revenue
/collections/lights-parts/products/dc30-42v-37w-48w-1000ma12v-led-driver-switch-power-supply-transformer?variant=36037638258849&currency=GBP,1,1,1,107,1,0
/collections/lights-parts/products/e27-3-bulb-pipe-light?variant=41164671418529&currency=GBP&keyword=&Content=AguPL&keyword=&Content=Sonya,1,1,1,0,1,0
/collections/lights-parts/products/ip68-waterproof-junction-box-outdoor-for-electrical-cable-wire-connector-5599?variant=54863052210562&currency=GBP,1,1,1,37,2,0
/collections/lights-parts/products/modern-vintage-industrial-flush-mount-ceiling-light?variant=40610697052321&currency=GBP&keyword=&Content=Sonya,1,1,1,49,11,0
/collections/luminous-deals,1,1,1,0,1,0
/collections/metal-holders/products/premium-e27-edison-screw-cap-socket-bulb-holder?variant=34750489755809,1,1,1,135,4,0
/collections/metal-holders/products/vintage-industrial-retro-edison-e27-socket-lamp-light-bulb-bakelite-holder?variant=42778681377018,1,1,1,178,1,31.13
/collections/metal-holders?shpxid=3d664e0d-2449-4dbb-b1fa-10c98231868e,1,1,1,3,2,0
/collections/modern-lighting,1,1,1,20,2,0
/collections/multi-outlet-lighting,1,1,1,0,1,0
/collections/multi-outlet-lighting-deals,1,1,1,16,2,0
/collections/ninc-products,1,1,1,6,1,0
/collections/office-items,1,1,1,4,1,0
/collections/pendant-lights/bedroom-lighting,1,1,1,0,1,0
/collections/pendant-lights/pendant-lights,1,1,1,12,1,0
/collections/pendant-lights/products/industrial-black-pendant-light-e27-gold-inner-shade?variant=56597779677570,1,1,1,0,1,0
/collections/pendant-lights/products/modern-cone-shade-metal-e27-double-head-pendant-light-6116?variant=55198318788994,1,1,1,25,1,0
/collections/pipe-lighting-accessories/products/3-4-bsp-malleable-iron-pipe-black-painted-steam-punk-cast-iron-pipe-fitting?variant=42706630181114,1,1,1,68,3,0
/collections/pipe-lighting?shpxid=0ee43022-0537-4e6a-9cc3-c8b4ab23c0fe,1,1,1,25,1,0
/collections/plug-in-wall-light/products/vintage-retro-modern-plug-in-wall-sconces?variant=32128904233056,1,1,1,0,2,0
/collections/plugin-lighting/products/4m-fabric-flex-cable-uk-broun-colour-plug-in-pendant-lamp-light-set-e27-bulb-holder-switch?variant=42910404903162,1,0,1,0,1,0
/collections/plugin-lighting/products/dimmer-switch-2m-4m-4-5m-fabric-flex-cable-plug-in-pendant-lamp-light-set?variant=39325051158689,1,1,1,120,4,0
/collections/plugin-lighting/products/steampunk-pipe-desk-lamp-retro-industrial-water-pipe-lamp?variant=55146057466242,1,1,1,54,4,0
/collections/plugin-lighting?filter.p.m.custom.wattage=60W,1,1,1,17,4,0
/collections/power-adapter-with-neon-flex-sales,1,1,1,21,1,0
/collections/premium-lighting/products/dimmer-switch-2m-4m-4-5m-fabric-flex-cable-plug-in-pendant-lamp-light-set?variant=39712432619681&currency=GBP,1,1,1,13,5,0
/collections/premium-lighting/products/metal-light-fixture?variant=41947212218618&currency=GBP&keyword=,1,1,1,267,2,0
/collections/premium-lighting/products/multi-shade-2m-pendant-light?variant=41040744087713&currency=GBP,1,1,1,79,4,0
/collections/premium-lighting/products/vintage-retro-industrial-copper-colour-metal-lampshade-sconce-wall-lights-uk-holder?variant=42832272556282&currency=GBP&keyword=,1,0,1,0,1,0
/collections/premium-wall-lights-collection-uk,1,1,1,92,15,0
/collections/pulley-wheel-pendant-light/products/industrial-pendant-light-fixture-with-pulley?variant=56242185994626,1,1,1,0,1,0
/collections/retro-vintage-pendant-collection?shop_consented_scopes=email%3Averified+openid+pay%3Asession_token+profile+shop%3Aaccount_uuid&shop_sign_in=true,1,1,1,39,3,7.59
/collections/shade-ring,1,1,1,78,2,0
/collections/shower-curtain,1,1,1,0,1,0
/collections/single-outlet-ceiling-rose/all-ceiling-rose,1,1,1,26,1,0
/collections/spider-light-accessories/products/ceiling-pendant-spider-light-parts-accessories,1,1,1,190,5,0
/collections/spider-light/products/3-head-spider-light-multiple-colour-pendant-light-flex-pendant-lights?variant=44873115762938,1,1,1,211,12,0
/collections/spider-light/products/multi-shade-2m-pendant-light?variant=41040744087713,1,1,1,0,1,0
/collections/switch-wall-light,1,1,1,49,1,0
/collections/switches-and-sockets/products/electric-wall-switch-5174?variant=44906550100218,1,1,1,61,1,0
/collections/table-lamps,1,1,1,0,2,0
/collections/table-lamps/products/bedside-reading-lamps-desk-lamp-buy?variant=44887574053114,1,1,1,3,1,0
/collections/top-accessories/products/5-pack-edison-e27-black-lamp-pendant-bulb-holder-with-shade-ring-cord-grip?variant=32130426667104&currency=GBP,1,1,1,145,12,0
/collections/top-accessories/products/black-vintage-bakelite-lamp-bulb-holders-edison-screw-e27-light-socket-holder-5720?variant=54977935802754&currency=GBP,1,1,1,0,1,0
/collections/top-deals/products/1-3w-300ma-compact-constant-current-led-driver?variant=31497529032800,1,1,1,15,1,0
/collections/top-selling-lighting-product,1,1,1,31,3,0
/collections/vendor-products-ceiling-rose-fitting-batch-3,1,1,1,0,1,0
/collections/vendor-products-shade-batch-3,1,1,1,0,1,0
/collections/vintage-bulbs/ceiling-lights,1,1,1,5,1,0
/collections/vintage-cables?shpxid=48e916b5-6eb5-4087-960e-a2512430de2b,1,1,1,34,1,0
/collections/vintage-lighting?shpxid=4c2da167-a75d-4724-a07a-d8ff0e4256d2,1,1,1,2,1,0
/collections/wall-light/products/glass-lampshade-modern-style-wall-lights-perfect-for-decorative-on-wall?variant=37471681413281,1,1,1,347,27,40.86
/collections/wall-light/products/satin-nickel-wall-light-lamp-sconces-living-room-home-decor-1?variant=55064125538690,1,1,1,595,21,0
/collections/wall-light?_su_rec=a3QjlHruKN3xIzulpmi2SArCvmQskoivbQQpCwj8xaigEoBbY0CvzWIy2-6kxhWItxXjc2YQeg3P9g7E9NTS8MMxVzS-XizeO-pNn-UVU_mcUEaHsuKT7zAbynSbLJ9ijtHPL8BRPfQwmDOjG7Ws1nGHQkaesf64tBcY_9zDlNLD2t_18k7tI6XJY3D5Vwc4K3cGpEETM_fCohN4QHoNlEcTuCln_WdSGJ3aQ1Xk4wI3ZpdBfN-c17ZY6Qw&_su_rec_id=89b44731-238d-4ffc-8bd0-738c235c769c-1782332054,1,1,1,10,1,0
/collections/wall-light?filter.p.m.custom.colour=Black,1,1,1,0,1,0
/collections/wall-lights-for-cafe-restaurant,1,1,1,69,2,0
/collections/warm-white-vintage-bulbs,1,1,1,265,2,0
/collections/white-board,1,1,1,11,1,0
/collections/wire-cage-pendant-light/pendant-lights,1,1,1,90,3,0
/collections/wire-cage/wire-cage,1,1,1,353,23,0
/es/collections/ceiling-lights-for-panel-lights,1,1,1,35,2,0
/es/collections/dc-12v-transformer,1,1,1,0,1,0
/es/collections/kitchen-lights-for-over-table,1,1,1,2,1,0
/es/collections/office-lighting,1,1,1,0,1,0
/es/collections/outdoor-wall-lights,1,1,1,99,2,0
/es/collections/pipe-lighting-accessories,1,1,1,121,3,0
/es/collections/vintage-bulbs,1,1,1,85,1,0
/es/collections/wall-light,1,1,1,0,1,0
/nl/collections/home-lighting,1,1,1,24,1,0
/pl-pl/collections/cord-grip-and-hanging-chains,1,1,1,0,1,0
/pl-pl/collections/pool-table-lights,1,1,1,0,1,0
